uid,memQ_0,memA_0,similarity_score_0,memQ_1,memA_1,similarity_score_1,memQ_2,memA_2,similarity_score_2,memQ_3,memA_3,similarity_score_3,memQ_4,memA_4,similarity_score_4,Fink_Q_1,Fink_Q_2,Fink_Q_3,Fink_Q_4,Fink_Q_5,Attention_Q_1,Device_Q,Calstera_Q_1,Calstera_Q_2,Calstera_Q_3,Calstera_Q_4,Attention_Q_2,Calstera_Q_5,Calstera_Q_6,Calstera_Q_7,Calstera_Q_8,Calstera_Q_9,Calstera_Q_10,Calstera_Q_11,Calstera_Q_12,Calstera_Q_13,Calstera_Q_14,Calstera_Q_15,Calstera_Q_16,Calstera_Q_17,q_comments
56911,4132576,4132576,1.0,3154627,315267,0.7692307692307693,2156734,2156734,1.0,3246571,3246571,1.0,4576123,457612,0.9230769230769231,5,3,2,5,3,7,Smartphone,6,6,5,7,1,6,4,5,3,6,4,3,5,4,5,6,6,3,No
78578,6527341,653427,0.6153846153846154,7632154,7632154,1.0,3562417,3562417,1.0,3547162,3574162,0.8571428571428571,1723465,1723465,1.0,7,7,6,3,6,7,Laptop,6,2,2,7,1,6,6,6,2,6,2,6,5,6,2,2,4,2,no
32147,4275316,4275136,0.8571428571428571,1675234,1675234,1.0,1735462,1735461,0.8571428571428571,5173462,5175361,0.7142857142857143,2631475,2631415,0.8571428571428571,6,2,3,7,5,7,Smartphone,2,5,6,3,1,2,1,7,2,5,3,5,5,7,5,3,1,1,N/A
51234,2371456,2371456,1.0,2165473,216745,0.6153846153846154,1357462,1357462,1.0,3245617,3245617,1.0,3751426,3751426,1.0,6,5,5,5,1,7,Smartphone,6,4,3,6,1,5,4,2,1,1,5,5,4,6,4,5,6,2,No
51346,,,,4625731,4625731,1.0,6321574,6543217,0.7142857142857143,6547231,6527651,0.5714285714285714,2657143,2567321,0.5714285714285714,4,2,1,4,2,7,Smartphone,2,3,4,3,1,2,4,3,3,3,2,4,5,6,3,5,5,5,No
72308,5341672,5436,0.5454545454545454,2537146,2357,0.5454545454545454,6752314,675421,0.7692307692307693,4135672,4536712,0.7142857142857143,1562374,1562374,1.0,6,5,6,3,3,7,Smartphone,5,5,5,4,1,4,3,5,5,4,5,4,4,5,3,4,5,3,Nothing
7691,3745612,34561,0.8333333333333334,4365712,4365713,0.8571428571428571,2746513,2746513,1.0,1372564,1372564,1.0,4615273,4615274,0.8571428571428571,3,2,4,5,5,7,Smartphone,3,4,5,2,1,2,5,6,6,4,4,4,7,5,4,7,2,4,No
24755,1345672,12357,0.6666666666666666,2465713,2465713,1.0,7351246,7354716,0.7142857142857143,2614375,2461375,0.8571428571428571,4156723,4156723,1.0,6,4,5,7,4,7,Smartphone,2,4,5,3,1,3,3,5,5,4,5,3,4,7,5,5,4,4,No thank you
83296,4517236,4517326,0.8571428571428571,2713546,27135467,0.9333333333333333,1347256,1347426,0.8571428571428571,5763241,763241,0.9230769230769231,4367512,743652,0.7692307692307693,2,2,3,6,6,7,Smartphone,2,6,5,3,1,2,6,2,3,3,5,3,5,6,6,5,2,5,No
38552,1253467,1253467,1.0,3754261,3754261,1.0,1573426,1578426,0.8571428571428571,3547162,154762,0.7692307692307693,1456273,1456273,1.0,7,7,4,6,6,7,Laptop,3,3,5,6,1,4,5,3,2,6,6,5,7,7,4,5,3,5,no
11261,4726153,472653,0.9230769230769231,7612543,7615423,0.8571428571428571,5347216,5742216,0.7142857142857143,4762153,4756213,0.8571428571428571,1356724,1356724,1.0,7,7,7,5,2,7,Smartphone,6,2,6,7,1,6,2,7,7,7,2,2,7,7,6,7,7,2,Mobile hurts us
63625,3162745,3162745,1.0,1457632,1457632,1.0,5621347,5621347,1.0,2631754,2631754,1.0,4273165,4273165,1.0,5,4,5,6,5,7,Smartphone,2,4,3,3,1,3,4,6,3,3,6,5,5,7,5,3,2,2,No
70688,7231456,753216,0.6153846153846154,3172654,3712754,0.7142857142857143,2435176,2531756,0.7142857142857143,4361257,4327357,0.7142857142857143,2651743,2651743,1.0,4,5,6,5,2,7,Smartphone,4,3,6,4,1,5,1,5,3,6,3,2,5,6,3,5,6,2,No
29909,6714523,67152,0.8333333333333334,3175264,75264,0.8333333333333334,4217536,4217256,0.8571428571428571,4265713,4265713,1.0,1372645,2743652,0.2857142857142857,5,6,5,4,5,7,Smartphone,3,5,3,6,1,6,3,6,6,6,4,6,6,7,6,6,3,1,No
64317,3456712,3456712,1.0,4513276,23,0.2222222222222222,6145237,614237,0.9230769230769231,7421356,74213456,0.9333333333333333,3764125,342167,0.3076923076923077,2,6,4,6,2,7,Smartphone,3,3,5,3,1,2,1,7,7,7,2,2,1,1,6,6,2,2,No
82416,1352764,1352746,0.8571428571428571,6437512,6543712,0.8571428571428571,4367251,4376521,0.7142857142857143,2471536,2471532,0.8571428571428571,4673152,4673152,1.0,2,2,2,1,5,7,Smartphone,5,3,6,2,1,2,2,7,5,4,3,2,2,4,5,5,2,1,No
59762,3126745,3126745,1.0,2531476,2531476,1.0,7436251,7436421,0.8571428571428571,6473125,6473125,1.0,6457213,6457213,1.0,5,6,6,3,2,7,Smartphone,5,3,4,4,1,5,5,4,2,5,6,5,2,5,4,5,3,5,N/A
93013,5312467,5312467,1.0,6574312,6574312,1.0,4753126,4753126,1.0,2546317,2546317,1.0,2356417,2536417,0.8571428571428571,5,6,6,4,3,7,Smartphone,2,6,6,7,1,7,4,3,3,7,7,6,2,7,2,6,3,3,Not really
23956,2361754,2361754,1.0,2761345,2761345,1.0,5763412,5761432,0.7142857142857143,2347156,2347156,1.0,3152467,3152467,1.0,4,5,3,6,6,7,Smartphone,2,2,5,5,1,3,7,2,1,3,1,3,6,7,3,3,5,1,No
49473,6217354,127435,0.6153846153846154,3152647,315267,0.9230769230769231,1732546,17352,0.6666666666666666,7521643,712534,0.46153846153846156,1237465,123746,0.9230769230769231,4,1,4,4,4,7,Laptop,1,6,1,4,1,1,7,1,4,4,7,4,6,4,1,4,1,4,no
6009,1472536,1472536,1.0,6413527,6413527,1.0,5264317,5264317,1.0,3746125,3746125,1.0,1452763,1452763,1.0,6,6,4,4,4,7,Smartphone,4,6,4,7,1,5,5,2,4,7,2,7,5,6,5,7,4,3,Depending on what situation I am in affects how I am also
18653,4365271,4365271,1.0,2516374,2513671,0.7142857142857143,6157234,6157234,1.0,4653712,4653712,1.0,4326715,4326714,0.8571428571428571,6,5,5,4,2,7,Smartphone,6,4,4,6,1,6,4,6,5,5,3,6,4,7,3,6,6,3,No
5140,1234675,123456,0.7692307692307693,1365724,1365724,1.0,1735264,1735624,0.8571428571428571,2173564,2173564,1.0,1537246,7246,0.7272727272727273,6,4,3,1,2,7,Smartphone,3,5,4,5,1,4,6,4,4,5,4,6,4,6,5,3,3,2,No thanks 
90157,6315427,63154,0.8333333333333334,6357124,63512,0.8333333333333334,2436157,2346157,0.8571428571428571,7341526,7314526,0.8571428571428571,4316527,4316527,1.0,3,2,2,2,5,7,Smartphone,2,4,3,5,1,4,5,2,2,4,5,5,3,3,5,5,2,3,No
14384,5617342,5617342,1.0,3426517,3421687,0.7142857142857143,7125643,7125643,1.0,6572431,6572341,0.8571428571428571,5647312,5647312,1.0,2,1,1,4,6,7,Smartphone,1,6,2,2,1,1,6,2,1,1,6,1,1,5,6,5,2,4,No
54015,1253764,1235674,0.7142857142857143,4376125,437615,0.9230769230769231,6214573,6271456,0.7142857142857143,2516734,2576153,0.5714285714285714,2165374,14736,0.3333333333333333,3,4,5,4,3,7,Smartphone,4,5,4,4,1,4,4,4,4,4,4,5,4,5,4,5,4,4,No
56369,2146753,2146753,1.0,2156374,2156374,1.0,6345217,6345217,1.0,3625174,3625174,1.0,1536742,1536742,1.0,4,3,2,5,2,7,Smartphone,3,3,3,5,1,6,6,5,7,5,2,6,6,7,6,6,3,1,No
23819,6341527,6341527,1.0,3256174,3256147,0.8571428571428571,5276134,5276143,0.8571428571428571,6315724,6315724,1.0,6145327,6345127,0.7142857142857143,6,7,2,5,3,7,Laptop,3,2,4,6,1,5,2,7,2,6,2,6,7,7,6,5,5,3,No
48481,3416275,3416275,1.0,5713264,5713264,1.0,7324516,7324516,1.0,2645371,2645371,1.0,3751462,3751462,1.0,6,7,6,7,3,7,Smartphone,6,2,2,7,1,6,3,1,2,5,2,7,6,7,2,2,6,1,N/A
77535,4172635,5,0.25,2315764,6,0.25,6132475,7,0.25,5741623,57413,0.8333333333333334,2436175,24675,0.8333333333333334,7,7,7,6,3,7,Smartphone,6,3,6,6,1,4,3,6,6,6,3,3,6,6,3,4,5,3,N/A
96402,5462173,5462173,1.0,7426513,7426513,1.0,7645123,7645123,1.0,3516472,3516472,1.0,7123465,7123465,1.0,5,4,5,3,3,7,Smartphone,5,3,6,5,1,4,5,5,4,3,3,4,5,5,3,4,4,3,N/A
13882,5271346,427,0.4,6237541,6237451,0.8571428571428571,7614235,761432,0.7692307692307693,2547316,453716,0.6153846153846154,7426351,7426351,1.0,5,1,6,7,7,7,Laptop,3,5,5,5,1,7,7,5,4,5,3,6,7,5,5,6,5,3,nothing
25401,2415367,2415367,1.0,3461752,3461752,1.0,7236451,7236451,1.0,6427531,6427541,0.8571428571428571,4356721,4256721,0.8571428571428571,4,5,2,3,4,7,Laptop,4,5,4,4,1,5,2,3,4,5,4,5,5,4,4,4,5,3,n/a
48822,7465312,746531,0.9230769230769231,5412367,5412368,0.8571428571428571,4213675,4213678,0.8571428571428571,1547362,1547362,1.0,7253461,2534621,0.8571428571428571,1,1,1,3,3,7,Smartphone,2,6,2,5,1,4,1,1,1,4,1,6,4,2,5,6,5,1,No
94123,5416732,65432461,0.5333333333333333,3574216,3574216,1.0,3765142,3765425,0.8571428571428571,5614732,5671732,0.8571428571428571,3245761,3245671,0.8571428571428571,1,1,1,7,6,7,Desktop,1,6,1,1,1,7,7,7,4,7,2,6,7,7,4,7,3,1,N/A
55693,6742351,6742351,1.0,3714652,3764152,0.7142857142857143,3761524,3761524,1.0,4736152,735124,0.6153846153846154,1543672,127652,0.46153846153846156,7,7,6,3,1,7,Smartphone,6,2,2,6,1,6,6,2,2,6,3,6,5,6,2,6,6,2,"I find remembering number sequences like the one shown really difficult on mobile, as I still have the previous numbers in my mind. Noises I find extremely stressful, and I cannot work properly on a mobile as the outside noise leaves me unable to concentrate completely "
7774,4523176,4523186,0.8571428571428571,1463275,1463275,1.0,1326475,1326475,1.0,2451763,24517463,0.9333333333333333,3425761,3425746,0.8571428571428571,6,6,6,4,3,7,Smartphone,6,3,6,3,1,4,2,4,6,6,2,2,6,4,2,6,5,5,No thanks 
69217,1765432,175432,0.9230769230769231,3157264,314725,0.6153846153846154,6215743,6215743,1.0,2315674,32315674,0.9333333333333333,4162375,4162375,1.0,2,7,7,5,7,7,Laptop,1,4,7,1,1,1,1,4,2,2,5,3,7,7,5,4,4,4,The attention question was structured in a odd way. It asked to choose the option located on the  left  but th scale wasn't pararell  but vertical I choose 1 but I'm not too sure if that alright. 
98205,4361725,436712,0.7692307692307693,6327154,637251,0.6153846153846154,6753241,6753241,1.0,5631742,536472,0.6153846153846154,7216534,7216543,0.8571428571428571,5,4,4,7,6,7,Smartphone,1,3,2,5,1,5,7,5,3,3,5,5,4,6,5,4,3,4,N/a
5506,6517234,6517234,1.0,7521643,7521634,0.8571428571428571,6721345,6723145,0.8571428571428571,7563421,7563421,1.0,2463715,24631745,0.8,6,6,6,6,2,7,Smartphone,7,2,1,5,1,6,4,3,2,5,3,7,6,7,3,3,5,1,No
80791,5314276,4276,0.7272727272727273,3476125,3476125,1.0,3562741,3562741,1.0,1672435,1672435,1.0,5261473,5261473,1.0,6,7,7,7,5,7,Smartphone,7,5,7,7,1,7,7,7,7,7,3,7,7,7,1,4,1,1,No
20420,6134725,6357,0.5454545454545454,4675312,467352,0.7692307692307693,2647531,2467531,0.8571428571428571,2617435,247654,0.46153846153846156,7231456,723416,0.7692307692307693,7,5,7,2,2,7,Smartphone,4,5,3,6,1,5,4,4,4,4,5,5,4,6,4,6,5,3,No
1462,7326154,7326154,1.0,5374162,57621,0.6666666666666666,3417625,3417625,1.0,4675231,4675231,1.0,3745612,3745612,1.0,2,2,2,2,6,7,Smartphone,1,5,4,3,1,4,7,5,6,3,5,5,5,3,7,7,5,1,No
77609,3547126,3547126,1.0,2643175,2643175,1.0,2153476,2153476,1.0,7652341,7652341,1.0,5621374,5621374,1.0,3,1,1,4,5,7,Smartphone,5,5,2,7,1,5,7,1,1,4,4,7,4,6,5,4,1,5,No
68338,7546312,7546312,1.0,2657431,2576431,0.8571428571428571,7361524,736512,0.7692307692307693,5732461,5736421,0.7142857142857143,5246731,5246731,1.0,5,5,5,1,1,7,Smartphone,6,1,3,6,1,6,5,2,2,5,2,6,2,4,4,5,2,2,No
71197,4526731,45267313,0.9333333333333333,6415237,6415237,1.0,2461375,246135,0.9230769230769231,1346275,1346275,1.0,2154367,215467,0.9230769230769231,5,5,5,4,4,7,Smartphone,6,4,4,6,1,6,4,4,2,4,3,3,3,5,3,6,4,3,No
5998,3146257,3546297,0.7142857142857143,7543261,7543261,1.0,1423675,1423675,1.0,2713564,2713564,1.0,1534267,1534267,1.0,6,7,5,7,7,7,Smartphone,5,2,4,6,1,5,4,7,7,7,3,3,7,7,7,3,5,5,no
1130,4215637,6374,0.5454545454545454,2137654,2137654,1.0,3157624,3157624,1.0,5647132,5647132,1.0,4361725,4361725,1.0,6,4,3,3,5,7,Smartphone,4,5,3,5,1,5,3,5,3,3,3,5,6,5,3,5,5,6,No
89811,6421375,73,0.2222222222222222,2351746,2315745,0.7142857142857143,2163754,217345,0.6153846153846154,3742615,37214657,0.6666666666666666,7432651,7432617,0.8571428571428571,4,6,5,5,4,7,Smartphone,6,5,6,4,1,4,5,5,5,5,3,3,5,4,4,4,4,5,N/a
5135,4325671,4321561,0.8571428571428571,3617452,345761,0.46153846153846156,3752146,375421,0.7692307692307693,1326574,132764,0.7692307692307693,7421536,74314,0.5,7,4,7,7,1,7,Smartphone,7,4,2,7,1,7,1,7,1,4,1,7,3,7,2,6,3,2,No
71633,3657124,3756124,0.7142857142857143,1572364,1572364,1.0,2143567,2534456,0.5714285714285714,2315467,346347,0.6153846153846154,3562147,3562147,1.0,4,4,3,6,5,7,Desktop,3,3,4,6,1,5,6,3,4,3,3,3,6,6,5,5,3,5,Working and listening to music should not be a distarction 
18680,,,,2315674,2315674,1.0,6125347,124367,0.6153846153846154,6352174,6235174,0.8571428571428571,4156273,,0.0,5,6,4,5,4,7,Smartphone,5,3,5,5,1,3,5,5,4,4,6,4,4,3,5,4,6,4,No
44331,7325461,7325461,1.0,3562147,356421,0.7692307692307693,3471256,347261,0.6153846153846154,4312657,431267,0.9230769230769231,1745623,174562,0.9230769230769231,6,2,5,6,6,7,Smartphone,7,6,2,6,1,7,2,4,1,6,2,7,7,7,2,3,4,2,No
61608,4756123,4756123,1.0,4712365,4761523,0.7142857142857143,7246153,7246153,1.0,6537412,6537412,1.0,1537624,1537624,1.0,5,3,3,6,2,7,Smartphone,1,3,4,5,1,4,3,6,5,5,2,4,7,6,3,5,4,3,n/a
36588,1643725,165,0.6,6412753,641475,0.7692307692307693,2576431,25764,0.8333333333333334,2371654,23716,0.8333333333333334,7641253,7641,0.7272727272727273,6,5,6,6,4,7,Laptop,5,4,5,4,1,3,4,5,2,4,4,4,5,6,4,5,4,3,N/A
20343,5176324,517324,0.9230769230769231,1472563,1472563,1.0,3265147,3265147,1.0,5372146,5372146,1.0,6714325,6714235,0.8571428571428571,5,6,6,5,3,7,Smartphone,2,5,3,5,1,5,3,3,3,6,3,6,5,6,2,6,3,3,No
85996,7524613,752461,0.9230769230769231,4571263,457126,0.9230769230769231,2456173,245617,0.9230769230769231,7156243,715426,0.6153846153846154,5342167,534217,0.9230769230769231,5,6,6,7,3,7,Smartphone,3,3,3,4,1,6,6,4,5,5,6,6,6,6,4,5,6,5,No
17902,4357261,1,0.25,1642537,1642537,1.0,3576421,3576421,1.0,7413256,7413256,1.0,2173546,2173546,1.0,7,7,7,7,5,7,Desktop,6,2,6,5,1,4,4,7,6,7,4,3,7,6,4,6,4,7,I did not understand what I was supposed to click for the attention checking question.  There was nothing to the left of the scale.
5057,7246513,75413,0.6666666666666666,2537641,253761,0.9230769230769231,2463571,2463571,1.0,6524713,6524731,0.8571428571428571,4562173,456217,0.9230769230769231,5,4,4,2,4,7,Smartphone,2,4,2,5,1,2,4,6,2,3,5,4,5,4,4,5,3,4,No
86290,4312657,4312657,1.0,6437215,437,0.6,3264517,3265471,0.7142857142857143,4751362,4751362,1.0,3124675,3124675,1.0,6,5,6,6,6,7,Smartphone,4,3,3,6,1,4,2,4,4,5,4,6,5,7,2,4,4,2,All good 
88111,3542167,3542167,1.0,7425163,742516,0.9230769230769231,7513426,7513462,0.8571428571428571,5167243,516723,0.9230769230769231,2154736,2154736,1.0,1,4,3,6,2,7,Smartphone,5,4,5,2,1,1,6,6,3,4,7,2,6,6,3,2,5,2,No
72245,4357261,4357261,1.0,3162475,3162475,1.0,7321645,7321645,1.0,4526713,4526713,1.0,2536174,2536174,1.0,6,6,6,4,3,7,Smartphone,3,4,3,4,1,3,2,6,4,5,4,4,6,5,4,3,2,4,No
25051,1526473,15624731,0.8,4216357,4216357,1.0,3427516,3247516,0.8571428571428571,3172654,3172654,1.0,3127645,3127645,1.0,4,1,5,5,3,7,Smartphone,1,5,1,5,1,1,1,6,7,1,6,3,6,7,7,4,1,1,Nope
58312,4167325,41675,0.8333333333333334,1362745,1362745,1.0,3146725,3126745,0.7142857142857143,6325147,6125147,0.8571428571428571,1243567,1243567,1.0,2,2,1,6,6,7,Smartphone,2,4,4,3,1,2,4,6,5,6,5,5,6,6,6,6,2,4,No
13305,5371642,5371642,1.0,5146723,5146723,1.0,3271564,3271564,1.0,7342651,7342561,0.8571428571428571,7216453,7214653,0.8571428571428571,7,7,5,7,1,7,Desktop,7,1,1,4,1,6,1,7,5,7,1,7,7,7,3,4,1,1,no
44698,2715643,2715643,1.0,4537126,4537612,0.8571428571428571,3417652,3417652,1.0,6142357,6154372,0.5714285714285714,7613254,7613254,1.0,5,5,6,6,2,7,Smartphone,6,4,5,3,1,5,6,4,2,5,3,5,6,4,3,5,3,2,No
